priority_group,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_datum_cd,huc_cd,huc8_name,parameter_count,parameter_codes,parameter_names,site_web_url
4_tualatin,14206425,"BRONSON CREEK AT 185TH AVE NR ALOHA, OR",ST,45.53233895,-122.8676014,NAD27,17090010,Tualatin,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14206425/
4_tualatin,453320122483701,BRONSON CREEK AT LAIDLAW,ST,45.55561389,-122.810261,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453320122483701/
4_tualatin,453304122491300,BRONSON CREEK PONDED SITE 1 NEAR MEISNER DRIVE,ST,45.5510833,-122.8202778,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453304122491300/
4_tualatin,453303122491300,BRONSON CREEK PONDED SITE 2 NEAR MEISNER DRIVE,ST,45.5508611,-122.820361,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453303122491300/
4_tualatin,453303122491400,BRONSON CREEK PONDED SITE 3 NEAR MEISNER DRIVE,ST,45.55075,-122.820611,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453303122491400/
4_tualatin,453302122491300,BRONSON CREEK PONDED SITE 4 NEAR MEISNER DRIVE,ST,45.55075,-122.8205,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453302122491300/
4_tualatin,453301122491600,BRONSON CREEK PONDED SITE 5 NEAR MEISNER DRIVE,ST,45.55016667,-122.821111,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453301122491600/
4_tualatin,452547122465900,"DERRY DELL CREEK AT SW WALNUT ST, TIGARD, OR",ST,45.42956268,-122.7842642,NAD27,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452547122465900/
4_tualatin,452538122471600,"DERRY DELL CREEK NEAR SW 107TH CT, AT TIGARD, OR",ST,45.42723056,-122.7876833,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452538122471600/
4_tualatin,452533122472600,"DERRY DELL CREEK NEAR SW DERRY DELL CT, TIGARD, OR",ST,45.42574167,-122.7904833,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452533122472600/
4_tualatin,452715122474500,"FANNO CREEK AT GREENWAY PARK, AT FANNO CREEK TRAIL",ST,45.45426389,-122.7957417,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452715122474500/
4_tualatin,452704122474200,"FANNO CREEK AT GREENWAY PARK, NEAR SW ROBBINS DR",ST,45.4509722,-122.794961,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452704122474200/
4_tualatin,452711122474100,"FANNO CREEK AT GREENWAY PARK, NEAR SW SETTLER WAY",ST,45.453025,-122.7948417,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452711122474100/
4_tualatin,452726122474500,FANNO CREEK PONDED SITE 1 AT GREENWAY PARK,ST,45.4573333,-122.7959306,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452726122474500/
4_tualatin,452726122474600,FANNO CREEK PONDED SITE 2 AT GREENWAY PARK,ST,45.45731667,-122.7956722,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452726122474600/
4_tualatin,452723122474700,FANNO CREEK PONDED SITE 3 AT GREENWAY PARK,ST,45.4565361,-122.7964694,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452723122474700/
4_tualatin,452723122474600,FANNO CREEK PONDED SITE 4 AT GREENWAY PARK,ST,45.456475,-122.7961528,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452723122474600/
4_tualatin,452722122474600,FANNO CREEK PONDED SITE 5 AT GREENWAY PARK,ST,45.4563694,-122.7962056,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452722122474600/
4_tualatin,452721122474800,FANNO CREEK PONDED SITE 6 AT GREENWAY PARK,ST,45.45573056,-122.796586,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452721122474800/
4_tualatin,452722122474800,FANNO CREEK PONDED SITE 7 AT GREENWAY PARK,ST,45.45597778,-122.7966444,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/452722122474800/
4_tualatin,14203750,"GALES CREEK NEAR GLENWOOD, OR",ST,45.64344428,-123.3703935,NAD27,17090010,Tualatin,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14203750/
4_tualatin,453248122580600,"MCKAY CREEK TRIB NEAR NE 14TH AVE,  HILLSBORO, OR",ST,45.54665,-122.968361,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453248122580600/
4_tualatin,453248122582100,"MCKAY CREEK TRIB NEAR NE 9TH DR, AT HILLSBORO, OR",ST,45.5466,-122.9725889,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453248122582100/
4_tualatin,14207000,"OSWEGO CANAL NEAR LAKE OSWEGO, OREG.",ST-CA,45.38873028,-122.7206507,NAD27,17090010,Tualatin,1,00060,discharge,https://waterdata.usgs.gov/monitoring-location/14207000/
4_tualatin,453334122511500,SPRINGVILLE CREEK NEAR LARK MEADOW TERRACE,ST,45.5593611,-122.85405,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453334122511500/
4_tualatin,453328122514600,"SPRINGVILLE CREEK NEAR NW 180TH PL, PORTLAND, OR",ST,45.557725,-122.8628139,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453328122514600/
4_tualatin,453319122505000,"STOLLER CREEK NEAR NW 166TH AVE, AT PORTLAND, OR",ST,45.5552694,-122.8471278,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453319122505000/
4_tualatin,453320122505700,"STOLLER CREEK NEAR NW 167TH PL, AT PORTLAND, OR",ST,45.555675,-122.849186,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453320122505700/
4_tualatin,453322122512200,"STOLLER CREEK NR MOUTH NR OAKLEY CT, PORTLAND, OR",ST,45.5589972,-122.8560056,NAD83,17090010,Tualatin,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/453322122512200/
